Order_ID,Order_Date,Customer_ID,Customer_Name,Category,Sub_Category,Product,Region,City,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Revenue_Before_Discount,Profit_Margin,Month,Year
O1001,2025-08-03,C075,Ravi,Office Supplies,Printer Paper,A4 Paper,West,Ahmedabad,8,44832,0.2,286924.8,175714.89,111209.91,358656,38.759253295637045,2025-08,2025
O1002,2025-07-11,C060,Kiran,Technology,Keyboard,HP Keyboard,East,Patna,6,869,0.15,4431.9,4101.37,330.53,5214,7.457975134818024,2025-07,2025
O1003,2025-07-07,C080,Arjun,Technology,Keyboard,HP Keyboard,North,Delhi,9,41534,0.1,336425.4,238843.32,97582.08,373806,29.005562600207952,2025-07,2025
O1004,2025-10-01,C004,Anjali,Office Supplies,Printer Paper,Premium Paper,South,Bangalore,5,3990,0.2,15960.0,11653.99,4306.01,19950,26.980012531328324,2025-10,2025
O1005,2025-09-21,C047,Arjun,Furniture,Table,Computer Table,South,Chennai,5,56293,0.15,239245.25,154650.57,84594.68,281465,35.35897995884976,2025-09,2025
O1006,2025-07-10,C018,Vikram,Furniture,Chair,Executive Chair,North,Jaipur,6,43673,0.05,248936.1,193443.3,55492.8,262038,22.291985774662653,2025-07,2025
O1007,2025-10-23,C085,Priya,Furniture,Table,Computer Table,East,Bhubaneswar,8,40497,0.15,275379.6,156440.65,118938.95,323976,43.190908113745536,2025-10,2025
O1008,2025-11-23,C009,Ravi,Office Supplies,Notebook,Spiral Notebook,North,Delhi,9,38144,0.2,274636.8,159239.98,115396.82,343296,42.01797428458241,2025-11,2025
O1009,2025-09-18,C041,Neha,Technology,Keyboard,HP Keyboard,East,Patna,3,39604,0.1,106930.8,92609.58,14321.22,118812,13.392979384798393,2025-09,2025
O1010,2025-12-26,C086,Arjun,Technology,Keyboard,HP Keyboard,North,Delhi,7,35322,0.2,197803.2,166519.13,31284.07,247254,15.815755255728925,2025-12,2025
O1011,2025-09-12,C014,Neha,Technology,Monitor,Dell Monitor,West,Pune,3,53092,0.2,127420.8,98688.8,28732.0,159276,22.548908812376002,2025-09,2025
O1012,2025-04-06,C004,Kiran,Office Supplies,Notebook,Classmate Notebook,West,Pune,3,48802,0.0,146406.0,98932.74,47473.26,146406,32.42576123929347,2025-04,2025
O1013,2025-10-11,C066,Unknown,Office Supplies,File,Office File,West,Ahmedabad,4,55920,0.1,201312.0,166669.02,34642.98,223680,17.20860157367668,2025-10,2025
O1014,2025-12-14,C089,Neha,Technology,Mobile,Samsung Mobile,South,Chennai,4,49025,0.1,176490.0,119966.96,56523.04,196100,32.02619978469035,2025-12,2025
O1015,2025-12-25,C070,Ravi,Furniture,Chair,Office Chair,South,Bangalore,9,27351,0.2,196927.2,176110.47,20816.73,246159,10.57077437753647,2025-12,2025
O1016,2025-11-11,C032,Ravi,Office Supplies,Notebook,Spiral Notebook,South,Hyderabad,3,13645,0.15,34794.75,22534.83,12259.92,40935,35.23497079300756,2025-11,2025
O1017,2025-04-11,C056,Rahul,Technology,Keyboard,Logitech Keyboard,North,Delhi,4,17775,0.05,67545.0,56393.88,11151.12,71100,16.509171663335557,2025-04,2025
O1018,2025-05-06,C002,Kiran,Office Supplies,Notebook,Spiral Notebook,North,Jaipur,7,24648,0.0,172536.0,138674.18,33861.82,172536,19.62594473037511,2025-05,2025
O1019,2025-09-12,C038,Ravi,Furniture,Cabinet,Storage Cabinet,East,Patna,4,52762,0.1,189943.2,132554.1,57389.1,211048,30.213821816206103,2025-09,2025
O1020,2025-12-15,C003,Sneha,Technology,Keyboard,HP Keyboard,North,Jaipur,1,27948,0.15,23755.8,17894.76,5861.04,27948,24.67203798651277,2025-12,2025
O1021,2025-05-08,C039,Priya,Office Supplies,Printer Paper,A4 Paper,North,Lucknow,3,11511,0.15,29353.05,27187.07,2165.98,34533,7.379062823113783,2025-05,2025
O1022,2025-09-09,C016,Vikram,Technology,Monitor,Dell Monitor,South,Chennai,7,22018,0.05,146419.7,95637.93,50781.77,154126,34.682334412650754,2025-09,2025
