Order_ID,Order_Date,Customer_ID,Customer_Name,Category,Sub_Category,Product,Region,City,Quantity,Unit_Price,Discount,Sales,Cost,Profit
O1001,2025-08-03,C075,Ravi,Office Supplies,Printer Paper,A4 Paper,West,Ahmedabad,8,44832,0.2,286924.8,175714.89,111209.91
O1002,2025-07-11,C060,Kiran,Technology,Keyboard,HP Keyboard,East,Patna,6,869,0.15,4431.9,4101.37,330.53
O1003,2025-07-07,C080,Arjun,Technology,Keyboard,HP Keyboard,North,Delhi,9,41534,0.1,336425.4,238843.32,97582.08
O1004,2025-10-01,C004,Anjali,Office Supplies,Printer Paper,Premium Paper,South,Bangalore,5,3990,0.2,15960.0,11653.99,4306.01
O1005,2025-09-21,C047,Arjun,Furniture,Table,Computer Table,South,Chennai,5,56293,0.15,239245.25,154650.57,84594.68
O1006,2025-07-10,C018,Vikram,Furniture,Chair,Executive Chair,North,Jaipur,6,43673,0.05,248936.1,193443.3,55492.8
O1007,2025-10-23,C085,Priya,Furniture,Table,Computer Table,East,Bhubaneswar,8,40497,0.15,275379.6,156440.65,118938.95
O1008,2025-11-23,C009,Ravi,Office Supplies,Notebook,Spiral Notebook,North,Delhi,9,38144,0.2,274636.8,159239.98,115396.82
O1009,2025-09-18,C041,Neha,Technology,Keyboard,HP Keyboard,East,Patna,3,39604,0.1,106930.8,92609.58,14321.22
O1010,2025-12-26,C086,Arjun,Technology,Keyboard,HP Keyboard,North,Delhi,7,35322,0.2,197803.2,166519.13,31284.07
O1011,2025-09-12,C014,Neha,Technology,Monitor,Dell Monitor,West,Pune,3,53092,0.2,127420.8,98688.8,28732.0
O1012,2025-04-06,C004,Kiran,Office Supplies,Notebook,Classmate Notebook,West,Pune,3,48802,0.0,146406.0,98932.74,47473.26
O1013,2025-10-11,C066,,Office Supplies,File,Office File,West,Ahmedabad,4,55920,0.1,201312.0,166669.02,34642.98
O1014,2025-12-14,C089,Neha,Technology,Mobile,Samsung Mobile,South,Chennai,4,49025,0.1,176490.0,119966.96,56523.04
O1015,2025-12-25,C070,Ravi,Furniture,Chair,Office Chair,South,Bangalore,9,27351,0.2,196927.2,176110.47,20816.73
O1016,2025-11-11,C032,Ravi,Office Supplies,Notebook,Spiral Notebook,South,Hyderabad,3,13645,0.15,34794.75,22534.83,12259.92
O1017,2025-04-11,C056,Rahul,Technology,Keyboard,Logitech Keyboard,North,Delhi,4,17775,0.05,67545.0,56393.88,11151.12
O1018,2025-05-06,C002,Kiran,Office Supplies,Notebook,Spiral Notebook,North,Jaipur,7,24648,0.0,172536.0,138674.18,33861.82
O1019,2025-09-12,C038,Ravi,Furniture,Cabinet,Storage Cabinet,East,Patna,4,52762,0.1,189943.2,132554.1,57389.1
O1020,2025-12-15,C003,Sneha,Technology,Keyboard,HP Keyboard,North,Jaipur,1,27948,0.15,23755.8,17894.76,5861.04
O1021,2025-05-08,C039,Priya,Office Supplies,Printer Paper,A4 Paper,North,Lucknow,3,11511,0.15,29353.05,27187.07,2165.98
O1022,2025-09-09,C016,Vikram,Technology,Monitor,Dell Monitor,South,Chennai,7,22018,0.05,146419.7,95637.93,50781.77
O1023,2025-06-09,C009,Anjali,Technology,Keyboard,HP Keyboard,South,Chennai,1,38291,0.15,32547.35,25169.43,7377.92
O1024,2025-03-16,C072,Sneha,Office Supplies,File,Document File,East,Patna,4,6395,0.0,25580.0,20638.27,4941.73
O1025,2025-12-04,C066,Amit,Furniture,Cabinet,Storage Cabinet,North,Lucknow,9,16582,0.0,149238.0,82383.05,66854.95
O1026,2025-05-15,C067,Rahul,Office Supplies,Printer Paper,A4 Paper,South,Hyderabad,4,23428,0.2,74969.6,46595.79,28373.81
O1027,2025-09-21,C027,Priya,Technology,Keyboard,HP Keyboard,West,Ahmedabad,6,19930,0.2,95664.0,71240.68,24423.32
O1028,2025-05-27,C004,Arjun,Technology,Mobile,Samsung Mobile,East,Patna,1,29224,0.15,24840.4,20840.62,3999.78
O1029,2025-02-06,C024,Rahul,Technology,Keyboard,Logitech Keyboard,East,Bhubaneswar,5,43625,0.1,196312.5,166686.49,29626.01
O1030,2025-06-10,C067,Priya,Furniture,Chair,Office Chair,West,Mumbai,4,290,0.2,928.0,653.35,274.65
O1031,2025-12-08,C023,Priya,Technology,Mobile,Apple iPhone,North,Jaipur,3,34763,0.05,99074.55,78863.63,20210.92
